Ld,Lb,growth_rate,length,condition
67.90879428067605,36.9138257914416,12.508000150753334,[38 39 41 43 45 50 51 54 58 60 65],glucoseaa
69.11855888304494,34.5340250114344,11.987357597190915,[35 37 38 41 43 47 48 52 55 58 62 65],glucoseaa
63.2001438018943,31.70217348644006,13.060783754368439,[33 34 36 37 38 40 43 45 48 52 55 58 59],glucoseaa
66.22804380519224,34.04308993115821,16.665273449899516,[36 36 38 38 40 41 43 45 46 50 50 53 57 60 62 63],glucoseaa
66.99201249562333,35.37433517091655,14.110709571155247,[36 36 39 42 43 46 47 50 52 53 59 61 64],glucoseaa
61.17065411757968,30.62409852066439,13.023803251865692,[33 32 35 36 36 40 42 43 46 49 52 56 59],glucoseaa
55.03732722715436,32.68198349715561,25.26881814081155,[33 36 35 36 38 38 37 38 39 41 42 43 45 47 48 49 51 53 55],glucoseaa
63.90341305849792,29.24885242954572,15.077431947981385,[31 32 34 33 34 37 37 40 43 43 47 47 49 52 54 60 64],glucoseaa
70.22840224656328,35.86914404794531,15.47490479353913,[36 38 39 41 42 44 47 49 51 55 57 59 62 64 66],glucoseaa
65.85693568771495,28.74288553116176,12.540437872316335,[30 29 31 34 36 38 40 42 46 47 50 53 57 59 61],glucoseaa
78.30080373273654,35.58145037678244,14.939777792287734,[40 39 39 40 43 43 46 47 51 54 55 60 61 65 69 72 76],glucoseaa
65.24499396806415,27.079114133303698,13.399683633555044,[28 28 30 32 33 36 36 40 41 42 45 47 50 54 55 60 62],glucoseaa
70.4082469844668,31.18152560996425,11.914357147639798,[33 33 36 36 40 40 45 44 49 54 56 59 64 66],glucoseaa
60.53548518982423,27.591903053662477,11.468536214010665,[30 30 31 32 35 37 39 41 44 47 51 54 58],glucoseaa
77.91664227838746,41.5988702476656,18.77649778513723,[42 46 44 47 49 51 53 52 54 57 58 61 64 67 70 74 77],glucoseaa
83.4267296059847,37.754340044855596,13.987637812024005,[39 39 41 43 46 48 50 55 58 59 62 64 68 71 77 79],glucoseaa
69.1627092814496,31.351065879719695,13.140835957463526,[31 33 35 36 39 40 43 46 48 50 54 58 59 61 65],glucoseaa
65.47559639763476,30.639119788071394,12.778591036215998,[30 34 34 36 38 40 42 44 47 50 53 56 60 61],glucoseaa
74.63127039279047,38.0017562519017,11.296949931531788,[39 41 44 46 47 50 55 57 62 67 71],glucoseaa
83.91619628724756,41.50811924977876,12.800873184262436,[41 43 46 50 51 54 56 61 65 68 71 85 71],glucoseaa
82.86947532519095,42.034686761353655,14.296502810384675,[43 44 46 48 50 54 57 59 62 65 68 72 75 79],glucoseaa
66.37110538300695,37.03382381899441,14.256661526861718,[39 39 41 43 45 46 49 51 53 57 61 65],glucoseaa
68.36416045820683,33.00666941516073,14.279150914835409,[34 36 37 38 39 41 44 46 48 51 53 57 59 62 66],glucoseaa
71.18462906664722,45.21718714858718,19.856589460157277,[44 47 49 52 53 54 57 54 58 60 68 66 69],glucoseaa
70.86243684149125,37.680309398805335,15.364181580184676,[38 39 41 43 45 46 49 53 55 58 60 60 64 68],glucoseaa
